runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,num_agents
0.001635,0,1,574,1755,572,572,572,572,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.064141,CBS with AStar,agents.txt:,2
0.002699,0,1,775,2733,773,773,773,773,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.062239,CBS with AStar,agents.txt:,2
0.002174,0,1,706,2379,704,704,704,704,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.061304,CBS with AStar,agents.txt:,2
0.001832,0,1,458,1727,456,456,456,456,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.064152,CBS with AStar,agents.txt:,2
0.001045,0,1,348,1157,346,346,346,346,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.062186,CBS with AStar,agents.txt:,2
0.001683,0,1,502,1677,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.055663,CBS with AStar,agents.txt:,2
0.000421,0,1,110,322,108,108,108,108,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.0496,CBS with AStar,agents.txt:,2
0.001047,0,1,374,1076,372,372,372,372,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.058952,CBS with AStar,agents.txt:,2
0.00197,0,1,372,1167,370,370,370,370,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.0874,CBS with AStar,agents.txt:,2
0.002096,0,1,641,2313,638,638,638,638,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.102593,CBS with AStar,agents.txt:,3
