Filename,AgentCount,RunID,PeakMemoryMB
Berlin_1_256.map,73,127,26.68359375
Berlin_1_256.map,74,128,26.82421875
Berlin_1_256.map,75,129,27.2421875
Berlin_1_256.map,76,130,27.59765625
Berlin_1_256.map,77,131,27.70703125
Berlin_1_256.map,78,132,27.82421875
Berlin_1_256.map,79,133,28.70703125
Berlin_1_256.map,80,134,28.4453125
Berlin_1_256.map,81,135,28.703125
Berlin_1_256.map,82,136,29.20703125
Berlin_1_256.map,83,137,29.69921875
Berlin_1_256.map,84,138,29.82421875
Berlin_1_256.map,85,139,29.8203125
Berlin_1_256.map,86,140,30.43359375
Berlin_1_256.map,87,141,30.8125
Berlin_1_256.map,88,142,30.87890625
Berlin_1_256.map,89,143,31.26171875
Berlin_1_256.map,90,144,31.265625
Berlin_1_256.map,91,145,32.0234375
Berlin_1_256.map,92,146,32.453125
Berlin_1_256.map,93,147,32.515625
Berlin_1_256.map,94,148,32.7734375
Berlin_1_256.map,95,149,32.4375
Berlin_1_256.map,96,150,33.3203125
Berlin_1_256.map,97,151,33.6796875
Berlin_1_256.map,98,152,33.984375
Berlin_1_256.map,99,153,34.515625
Berlin_1_256.map,100,154,34.421875
Berlin_1_256.map,101,155,34.671875
Berlin_1_256.map,102,156,34.77734375
Berlin_1_256.map,103,157,35.26953125
Berlin_1_256.map,104,158,36.2890625
Berlin_1_256.map,105,159,36.30078125
Berlin_1_256.map,106,160,37.140625
Berlin_1_256.map,107,161,36.77734375
Berlin_1_256.map,108,162,39.3359375
Berlin_1_256.map,109,163,39.37109375
Berlin_1_256.map,110,164,39.4296875
Berlin_1_256.map,111,165,42.4375
Berlin_1_256.map,112,166,42.17578125
Berlin_1_256.map,113,167,42.5625
Berlin_1_256.map,114,168,43.80859375
Berlin_1_256.map,115,169,43.7890625
Berlin_1_256.map,116,170,43.6484375
Berlin_1_256.map,117,171,50.20703125
Berlin_1_256.map,1,172,0.16796875
Berlin_1_256.map,2,173,0.33203125
Berlin_1_256.map,3,174,0.33203125
Berlin_1_256.map,4,175,0.33203125
Berlin_1_256.map,5,176,0.33203125
Berlin_1_256.map,6,177,0.40234375
Berlin_1_256.map,7,178,0.40234375
Berlin_1_256.map,8,179,0.33203125
Berlin_1_256.map,9,180,0.33203125
Berlin_1_256.map,10,181,0.33203125
Berlin_1_256.map,11,182,0.328125
Berlin_1_256.map,12,183,0.26953125
Berlin_1_256.map,13,184,0.27734375
Berlin_1_256.map,14,185,0.328125
Berlin_1_256.map,15,186,0.33203125
Berlin_1_256.map,16,187,9.04296875
Berlin_1_256.map,17,188,8.69921875
Berlin_1_256.map,18,189,8.5390625
Berlin_1_256.map,19,190,8.38671875
Berlin_1_256.map,20,191,9.05078125
Berlin_1_256.map,21,192,8.484375
Berlin_1_256.map,22,193,8.58203125
Berlin_1_256.map,23,194,8.68359375
Berlin_1_256.map,24,195,8.77734375
Berlin_1_256.map,25,196,8.23046875
Berlin_1_256.map,26,197,9.0703125
Berlin_1_256.map,27,198,9.27734375
Berlin_1_256.map,28,199,8.953125
Berlin_1_256.map,29,200,12.6484375
Berlin_1_256.map,30,201,13.3984375
Berlin_1_256.map,31,202,13.6171875
Berlin_1_256.map,32,203,13.55078125
Berlin_1_256.map,33,204,13.72265625
Berlin_1_256.map,34,205,13.76953125
Berlin_1_256.map,35,206,14.17578125
Berlin_1_256.map,36,207,13.390625
Berlin_1_256.map,37,208,12.8984375
Berlin_1_256.map,38,209,13.42578125
Berlin_1_256.map,39,210,13.08203125
Berlin_1_256.map,40,211,13.70703125
Berlin_1_256.map,41,212,12.93359375
Berlin_1_256.map,42,213,12.6484375
Berlin_1_256.map,43,214,16.76953125
Berlin_1_256.map,44,215,17.05859375
Berlin_1_256.map,45,216,17.26953125
Berlin_1_256.map,46,217,18.015625
Berlin_1_256.map,47,218,17.67578125
Berlin_1_256.map,48,219,18.109375
Berlin_1_256.map,49,220,14.91796875
Berlin_1_256.map,50,221,20.2421875
Berlin_1_256.map,51,222,20.6640625
Berlin_1_256.map,52,223,20.9375
Berlin_1_256.map,53,224,20.703125
Berlin_1_256.map,54,225,21.6796875
Berlin_1_256.map,55,226,21.52734375
Berlin_1_256.map,56,227,22.1484375
Berlin_1_256.map,57,228,21.30859375
Berlin_1_256.map,58,229,22.3984375
Berlin_1_256.map,59,230,22.671875
Berlin_1_256.map,60,231,22.83984375
Berlin_1_256.map,61,232,24.33203125
Berlin_1_256.map,62,233,23.1640625
Berlin_1_256.map,63,234,23.7890625
Berlin_1_256.map,64,235,23.84765625
Berlin_1_256.map,65,236,24.19921875
Berlin_1_256.map,66,237,24.47265625
Berlin_1_256.map,67,238,24.921875
Berlin_1_256.map,68,239,24.94921875
Berlin_1_256.map,69,240,26.0546875
Berlin_1_256.map,70,241,25.7265625
Berlin_1_256.map,71,242,27.890625
