runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,standard conflicts,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,num_agents
0.240603,15,31,37597,136339,15084,15084,15079,15079,15,0.001879,4.5e-05,0.025211,0.122274,0.135877,0.408095,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,71
0.222649,17,35,38435,139879,15122,15122,15117,15117,17,0.001384,2.3e-05,0.022171,0.118265,0.129325,0.40576,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,72
0.249713,17,35,38927,140915,15188,15188,15183,15183,17,0.001902,6.7e-05,0.023961,0.131012,0.153761,0.432569,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,73
0.244663,17,35,39439,142887,15552,15552,15547,15547,17,0.001321,1.9e-05,0.024005,0.132425,0.143999,0.430821,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,74
0.257488,17,35,39815,144809,15944,15944,15939,15939,17,0.00145,2.4e-05,0.026009,0.132212,0.142942,0.423242,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,75
0.267232,17,35,39961,145659,16135,16135,16130,16130,17,0.00194,2.6e-05,0.037478,0.147752,0.160643,0.469212,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,76
0.294751,23,47,42961,159853,16242,16242,16237,16237,23,0.002881,0.000111,0.044272,0.164088,0.184311,0.447726,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,77
0.259584,22,45,42370,157389,16245,16245,16240,16240,22,0.001922,4.9e-05,0.040629,0.136183,0.158377,0.386965,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,78
0.243095,22,45,42697,158830,16438,16438,16433,16433,22,0.001801,3.6e-05,0.030427,0.133114,0.155071,0.377623,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,79
0.313769,23,47,43239,161088,16533,16533,16528,16528,23,0.002329,6.3e-05,0.054727,0.165852,0.194481,0.385109,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,80
0.339572,23,47,43710,163372,16892,16892,16887,16887,23,0.002524,8.8e-05,0.042682,0.194227,0.222526,0.45933,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,81
0.326312,23,47,44451,165779,17302,17302,17297,17297,23,0.002218,3e-05,0.049013,0.17286,0.206946,0.479101,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,82
0.259881,23,47,44551,166193,17322,17322,17317,17317,23,0.001897,2.8e-05,0.035804,0.139397,0.161424,0.392134,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,83
0.255639,23,47,44641,166451,17509,17509,17504,17504,23,0.001977,3.2e-05,0.035195,0.144785,0.161523,0.396272,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,84
0.366971,23,47,44518,166948,17677,17677,17672,17672,23,0.002245,4.1e-05,0.055154,0.218733,0.241124,0.416274,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,85
0.282243,24,49,45406,171490,17865,17865,17860,17860,24,0.002432,2.4e-05,0.035933,0.146307,0.163816,0.493255,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,86
0.28548,25,51,46548,176449,18066,18066,18061,18061,25,0.002201,3.2e-05,0.041936,0.156097,0.175844,0.415934,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,87
0.307061,27,55,48799,187027,18476,18476,18471,18471,27,0.003408,0.000113,0.047995,0.175496,0.199264,0.412105,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,88
0.377492,27,55,48653,186580,18479,18479,18474,18474,27,0.002765,6.2e-05,0.050795,0.217449,0.246859,0.51207,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,89
0.403468,27,55,49178,188668,18593,18593,18588,18588,27,0.002544,3.7e-05,0.041828,0.211541,0.234395,0.514464,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,90
0.39984,27,55,49225,188914,18879,18879,18874,18874,27,0.002482,4.4e-05,0.045175,0.229154,0.25296,0.542112,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,91
0.3985,27,55,50159,193112,19265,19265,19260,19260,27,0.002585,5.2e-05,0.043563,0.213857,0.251747,0.507093,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,92
0.431764,26,53,49383,190172,19664,19664,19659,19659,26,0.002537,3.7e-05,0.069404,0.233254,0.26698,0.55212,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,93
0.320856,26,53,49183,189780,19674,19674,19669,19669,26,0.002684,4.9e-05,0.046097,0.170123,0.191927,0.493688,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,94
0.348005,27,55,50812,195003,19703,19703,19698,19698,27,0.002919,3.7e-05,0.050689,0.190893,0.214915,0.451429,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,95
0.458909,26,53,49735,192025,19997,19997,19992,19992,26,0.002661,4.1e-05,0.04475,0.230809,0.274968,0.509147,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,96
0.341871,25,51,50839,194428,20378,20378,20373,20373,25,0.002678,5.6e-05,0.051249,0.183504,0.207678,0.46833,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,97
0.36215,27,55,51158,198120,20554,20554,20549,20549,27,0.003337,5.3e-05,0.051535,0.187288,0.218524,0.473551,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,98
0.369163,27,55,51442,199428,20855,20855,20850,20850,27,0.003326,5.2e-05,0.050582,0.198596,0.225464,0.47094,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,99
0.468042,26,53,50998,196791,20876,20876,20871,20871,26,0.00339,8.4e-05,0.057645,0.255722,0.295048,0.550136,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,100
